obs_datetime,night,mfgID,sig,noise,motusTagID,port,runLen,tagProjID,mfg,tagModel,tagLifespan,tagBI,tagDeployID,tagDeployStart,fullID,deviceID,recvDeployID,recvDeployLat,recvDeployLon,recv,recvDeployName,antType,antBearing,speciesEN,tagProjName,recvProjName
2023-04-16T17:51:22Z,2023-04-16,16,-57.9964,-65.7599,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:51:28Z,2023-04-16,16,-57.6387,-65.8774,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:51:34Z,2023-04-16,16,-57.1754,-65.6451,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:51:40Z,2023-04-16,16,-58.3606,-65.8338,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:51:52Z,2023-04-16,16,-57.7076,-65.8214,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:51:58Z,2023-04-16,16,-58.0404,-65.9439,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:52:03Z,2023-04-16,16,-57.9849,-65.9059,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:52:27Z,2023-04-16,16,-57.7031,-65.5382,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:52:33Z,2023-04-16,16,-57.0436,-65.5073,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:52:39Z,2023-04-16,16,-54.7623,-65.8009,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:52:45Z,2023-04-16,16,-53.6529,-66.0601,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:52:51Z,2023-04-16,16,-54.4103,-65.5464,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:52:46Z,2023-04-16,96,-58.9753,-65.926,66058,2,9,307,Lotek,NTQB2-1-M,27,2.900099992752075,45601,2023-04-16T06:00:00Z,UK-Bats#96:2.9@150.1(M.66058),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:52:52Z,2023-04-16,96,-59.4319,-65.8782,66058,2,9,307,Lotek,NTQB2-1-M,27,2.900099992752075,45601,2023-04-16T06:00:00Z,UK-Bats#96:2.9@150.1(M.66058),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:52:44Z,2023-04-16,94,-58.5386,-65.9533,66056,2,13,307,Lotek,NTQB2-1-M,27,2.900099992752075,45599,2023-04-16T06:00:00Z,UK-Bats#94:2.9@150.1(M.66056),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:52:53Z,2023-04-16,94,-58.818,-65.7732,66056,2,13,307,Lotek,NTQB2-1-M,27,2.900099992752075,45599,2023-04-16T06:00:00Z,UK-Bats#94:2.9@150.1(M.66056),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:52:56Z,2023-04-16,94,-57.0165,-65.6589,66056,2,13,307,Lotek,NTQB2-1-M,27,2.900099992752075,45599,2023-04-16T06:00:00Z,UK-Bats#94:2.9@150.1(M.66056),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:02Z,2023-04-16,16,-54.7054,-66.0293,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:05Z,2023-04-16,94,-58.8021,-65.8329,66056,2,13,307,Lotek,NTQB2-1-M,27,2.900099992752075,45599,2023-04-16T06:00:00Z,UK-Bats#94:2.9@150.1(M.66056),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:08Z,2023-04-16,94,-58.3084,-66.2573,66056,2,13,307,Lotek,NTQB2-1-M,27,2.900099992752075,45599,2023-04-16T06:00:00Z,UK-Bats#94:2.9@150.1(M.66056),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:10Z,2023-04-16,94,-58.215,-65.7681,66056,2,13,307,Lotek,NTQB2-1-M,27,2.900099992752075,45599,2023-04-16T06:00:00Z,UK-Bats#94:2.9@150.1(M.66056),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:13Z,2023-04-16,94,-56.1981,-65.7638,66056,2,13,307,Lotek,NTQB2-1-M,27,2.900099992752075,45599,2023-04-16T06:00:00Z,UK-Bats#94:2.9@150.1(M.66056),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:14Z,2023-04-16,16,-50.2795,-65.5423,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:15Z,2023-04-16,96,-57.9506,-65.9716,66058,2,9,307,Lotek,NTQB2-1-M,27,2.900099992752075,45601,2023-04-16T06:00:00Z,UK-Bats#96:2.9@150.1(M.66058),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:16Z,2023-04-16,94,-57.5406,-65.6208,66056,2,13,307,Lotek,NTQB2-1-M,27,2.900099992752075,45599,2023-04-16T06:00:00Z,UK-Bats#94:2.9@150.1(M.66056),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:18Z,2023-04-16,96,-56.3447,-65.8993,66058,2,9,307,Lotek,NTQB2-1-M,27,2.900099992752075,45601,2023-04-16T06:00:00Z,UK-Bats#96:2.9@150.1(M.66058),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:19Z,2023-04-16,94,-54.3614,-65.9807,66056,2,13,307,Lotek,NTQB2-1-M,27,2.900099992752075,45599,2023-04-16T06:00:00Z,UK-Bats#94:2.9@150.1(M.66056),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:20Z,2023-04-16,16,-45.452,-65.3836,75533,2,17,307,Lotek,NTQB2-1-M,51,5.900100231170654,45596,2023-04-16T06:00:00Z,UK-Bats#16:5.9@150.1(M.75533),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:21Z,2023-04-16,96,-51.2933,-65.4158,66058,2,9,307,Lotek,NTQB2-1-M,27,2.900099992752075,45601,2023-04-16T06:00:00Z,UK-Bats#96:2.9@150.1(M.66058),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:22Z,2023-04-16,94,-52.9495,-65.6789,66056,2,13,307,Lotek,NTQB2-1-M,27,2.900099992752075,45599,2023-04-16T06:00:00Z,UK-Bats#94:2.9@150.1(M.66056),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-16T17:53:21Z,2023-04-16,91,-55.3445,-65.9145,74927,2,3,307,Lotek,NTQB2-1,27,2.900399923324585,45598,2023-04-16T06:00:00Z,UK-Bats#91:2.9@150.1(M.74927),3165,9405,51.4414,-0.4524,CTT-DFA627A74176,Bedfont Lakes,yagi-6,110,Nathusius' Pipistrelle,UK-Bats,UK-Bats
