obs_datetime,night,mfgID,sig,noise,motusTagID,port,runLen,tagProjID,mfg,tagModel,tagLifespan,tagBI,tagDeployID,tagDeployStart,fullID,deviceID,recvDeployID,recvDeployLat,recvDeployLon,recv,recvDeployName,antType,antBearing,speciesEN,tagProjName,recvProjName
2023-04-16T12:24:20Z,2023-04-16,88,-72.9999,-82.6895,65733,1,2,389,Lotek,NTQB2-3-2-M,553,29.296499252319336,39933,2022-05-28T00:00:00Z,pre-mig flights#88:29.3@150.1(M.65733),2407,8648,52.8005,1.5832,CTT-1610F6693478,UKBats-Eccles,yagi-6,260,Northern Wheatear (Eurasian),pre-mig flights,UK-Bats
2023-04-16T12:25:19Z,2023-04-16,88,-73.3452,-80.8628,65733,1,2,389,Lotek,NTQB2-3-2-M,553,29.296499252319336,39933,2022-05-28T00:00:00Z,pre-mig flights#88:29.3@150.1(M.65733),2407,8648,52.8005,1.5832,CTT-1610F6693478,UKBats-Eccles,yagi-6,260,Northern Wheatear (Eurasian),pre-mig flights,UK-Bats
2023-04-22T18:57:28Z,2023-04-22,92,-66.9036,-75.6299,74928,1,2,307,Lotek,NTQB2-1,27,2.900099992752075,44942,2023-04-16T06:00:00Z,UK-Bats#92:2.9@150.1(M.74928),2407,8648,52.8005,1.5832,CTT-1610F6693478,UKBats-Eccles,yagi-6,260,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-22T18:58:23Z,2023-04-22,92,-68.103,-75.6121,74928,1,2,307,Lotek,NTQB2-1,27,2.900099992752075,44942,2023-04-16T06:00:00Z,UK-Bats#92:2.9@150.1(M.74928),2407,8648,52.8005,1.5832,CTT-1610F6693478,UKBats-Eccles,yagi-6,260,Nathusius' Pipistrelle,UK-Bats,UK-Bats
2023-04-22T18:59:36Z,2023-04-22,444.3,-68.4583,-76.2448,59338,1,2,709,Lotek,NTQB2-3-2,216,7.299099922180176,37049,2022-10-20T12:45:00Z,SongbirdsNL#444.3:7.3@150.1(M.59338),2407,8648,52.8005,1.5832,CTT-1610F6693478,UKBats-Eccles,yagi-6,260,European Starling,SongbirdsNL,UK-Bats
2023-04-22T19:00:20Z,2023-04-22,444.3,-68.154,-76.1217,59338,1,2,709,Lotek,NTQB2-3-2,216,7.299099922180176,37049,2022-10-20T12:45:00Z,SongbirdsNL#444.3:7.3@150.1(M.59338),2407,8648,52.8005,1.5832,CTT-1610F6693478,UKBats-Eccles,yagi-6,260,European Starling,SongbirdsNL,UK-Bats
2023-04-22T19:00:39Z,2023-04-22,186,-67.0029,-75.9741,70335,1,2,709,Lotek,NTQB2-3-2-M,216,7.299200057983398,42583,2022-10-27T08:20:00Z,SongbirdsNL#186:7.3@150.1(M.70335),2407,8648,52.8005,1.5832,CTT-1610F6693478,UKBats-Eccles,yagi-6,260,European Starling,SongbirdsNL,UK-Bats
2023-04-22T19:01:37Z,2023-04-22,186,-67.44,-75.7198,70335,1,2,709,Lotek,NTQB2-3-2-M,216,7.299200057983398,42583,2022-10-27T08:20:00Z,SongbirdsNL#186:7.3@150.1(M.70335),2407,8648,52.8005,1.5832,CTT-1610F6693478,UKBats-Eccles,yagi-6,260,European Starling,SongbirdsNL,UK-Bats
2023-05-05T00:37:04Z,2023-05-04,155,-55.4411,-69.4448,69763,3,7,853,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,BatMig#155:8.3@150.1(M.69763),2407,8648,52.8005,1.5832,CTT-1610F6693478,UKBats-Eccles,yagi-6,152,Nathusius' Pipistrelle,BatMig,UK-Bats
2023-05-05T00:37:12Z,2023-05-04,155,-53.0976,-68.3798,69763,3,7,853,Lotek,NTQB2-1-M,67,8.299799919128418,42237,2023-05-02T01:00:00Z,BatMig#155:8.3@150.1(M.69763),2407,8648,52.8005,1.5832,CTT-1610F6693478,UKBats-Eccles,yagi-6,152,Nathusius' Pipistrelle,BatMig,UK-Bats
